Index,Component,Role,Confidence,Quote,Thickness,Width,Length,CenterX,CenterY,CenterZ,Reason
1,2223488_B-PLATE-1,top_clamp_plate,MEDIUM,True,4.875,25,35,0,0,-2.439,Two-half mold pattern: opposite full-footprint clamp plate.
2,2223488_CLAMP-PLATE-1,bottom_clamp_plate,HIGH,True,1.375,25,35,0,0,-10.065,Two-half mold pattern: lower full-footprint plate along stack axis is BCP.
3,2223488_RAIL-TOP-1,ignore,LOW,False,4.375,4.5,35,0,10.313,-7.127,Outside main standard-base classification rules.
4,2223488_RAIL-BOTTOM-1,ignore,LOW,False,4,4.5,35,0,-10.5,-7.127,Outside main standard-base classification rules.
5,2223488_EJ-BACKUP-PLATE-1,ejector_plate,MEDIUM,True,1.125,16,30,0,0,-8.627,Centered long narrow ejector-stack plate.
6,2223488_EJ-RET-PLATE_2-1,pin_plate,MEDIUM,True,0.625,16,30,0,0,-7.752,Centered long narrow ejector-stack plate above/between rails.
7,PILLAR_D3-X-4-5_T_PCS-5,hardware_other,LOW,False,3,3,4.5,-2.5,2.125,-7.127,Round hardware but role is not certain from dimensions alone.
8,PILLAR_D3-X-4-5_T_PCS-8,hardware_other,LOW,False,3,3,4.5,-12,0,-7.127,Round hardware but role is not certain from dimensions alone.
9,PILLAR_D3-X-4-5_T_PCS-4,hardware_other,LOW,False,3,3,4.5,12,0,-7.127,Round hardware but role is not certain from dimensions alone.
10,PILLAR_D3-X-4-5_T_PCS-7,hardware_other,LOW,False,3,3,4.5,2.5,2.125,-7.127,Round hardware but role is not certain from dimensions alone.
11,PILLAR_D3-X-4-5_T_PCS-6,hardware_other,LOW,False,3,3,4.5,-6.75,0,-7.127,Round hardware but role is not certain from dimensions alone.
12,PILLAR_D3-X-4-5_T_PCS-1,hardware_other,LOW,False,3,3,4.5,2.5,-2.125,-7.127,Round hardware but role is not certain from dimensions alone.
13,PILLAR_D3-X-4-5_T_PCS-2,hardware_other,LOW,False,3,3,4.5,-2.5,-2.125,-7.127,Round hardware but role is not certain from dimensions alone.
14,PILLAR_D3-X-4-5_T_PCS-3,hardware_other,LOW,False,3,3,4.5,6.75,0,-7.127,Round hardware but role is not certain from dimensions alone.
15,LBB_2ID-X-4_7-8_DME-2,hardware_other,LOW,False,2.677,2.677,4.875,15.25,10.25,-2.439,Round hardware but role is not certain from dimensions alone.
16,LBB_2ID-X-4_7-8_DME-4,hardware_other,LOW,False,2.677,2.677,4.875,-15,10.25,-2.439,Round hardware but role is not certain from dimensions alone.
17,LBB_2ID-X-4_7-8_DME-3,hardware_other,LOW,False,2.677,2.677,4.875,-15.25,-10.25,-2.439,Round hardware but role is not certain from dimensions alone.
18,LBB_2ID-X-4_7-8_DME-1,hardware_other,LOW,False,2.677,2.677,4.875,15.25,-10.25,-2.439,Round hardware but role is not certain from dimensions alone.
19,LDR-PIN_2OD-X-6-3-4_PCS-4,hardware_other,LOW,False,2.24,2.24,6.75,15.25,-10.25,1.002,Round hardware but role is not certain from dimensions alone.
20,LDR-PIN_2OD-X-6-3-4_PCS-1,hardware_other,LOW,False,2.24,2.24,6.75,-15.25,-10.25,1.002,Round hardware but role is not certain from dimensions alone.
21,LDR-PIN_2OD-X-6-3-4_PCS-2,hardware_other,LOW,False,2.24,2.24,6.75,-15,10.25,1.002,Round hardware but role is not certain from dimensions alone.
22,LDR-PIN_2OD-X-6-3-4_PCS-3,hardware_other,LOW,False,2.24,2.24,6.75,15.25,10.25,1.002,Round hardware but role is not certain from dimensions alone.
23,PILLAR_D2-X-4-5_T_PCS-8,hardware_other,LOW,False,2,2,4.5,-12.75,3.25,-7.127,Round hardware but role is not certain from dimensions alone.
24,PILLAR_D2-X-4-5_T_PCS-11,hardware_other,LOW,False,2,2,4.5,12.75,3.25,-7.127,Round hardware but role is not certain from dimensions alone.
25,PILLAR_D2-X-4-5_T_PCS-7,hardware_other,LOW,False,2,2,4.5,-4.5,-6.25,-7.127,Round hardware but role is not certain from dimensions alone.
26,PILLAR_D2-X-4-5_T_PCS-13,hardware_other,LOW,False,2,2,4.5,4.5,6.25,-7.127,Round hardware but role is not certain from dimensions alone.
27,PILLAR_D2-X-4-5_T_PCS-12,hardware_other,LOW,False,2,2,4.5,12.75,-3.25,-7.127,Round hardware but role is not certain from dimensions alone.
28,PILLAR_D2-X-4-5_T_PCS-14,hardware_other,LOW,False,2,2,4.5,-4.5,6.25,-7.127,Round hardware but role is not certain from dimensions alone.
29,PILLAR_D2-X-4-5_T_PCS-2,hardware_other,LOW,False,2,2,4.5,8.75,4.5,-7.127,Round hardware but role is not certain from dimensions alone.
30,PILLAR_D2-X-4-5_T_PCS-5,hardware_other,LOW,False,2,2,4.5,-8.75,4.5,-7.127,Round hardware but role is not certain from dimensions alone.
31,PILLAR_D2-X-4-5_T_PCS-1,hardware_other,LOW,False,2,2,4.5,0,-5,-7.127,Round hardware but role is not certain from dimensions alone.
32,PILLAR_D2-X-4-5_T_PCS-3,hardware_other,LOW,False,2,2,4.5,-8.75,-4.5,-7.127,Round hardware but role is not certain from dimensions alone.
33,PILLAR_D2-X-4-5_T_PCS-4,hardware_other,LOW,False,2,2,4.5,-12.75,-3.25,-7.127,Round hardware but role is not certain from dimensions alone.
34,PILLAR_D2-X-4-5_T_PCS-6,hardware_other,LOW,False,2,2,4.5,8.75,-4.5,-7.127,Round hardware but role is not certain from dimensions alone.
35,PILLAR_D2-X-4-5_T_PCS-9,hardware_other,LOW,False,2,2,4.5,4.5,-6.25,-7.127,Round hardware but role is not certain from dimensions alone.
36,PILLAR_D2-X-4-5_T_PCS-10,hardware_other,LOW,False,2,2,4.5,0,5,-7.127,Round hardware but role is not certain from dimensions alone.
37,EJ_LDR_PIN_D-1-X-6-25_PCS-3,leader_pin,MEDIUM,False,1.24,1.24,6.25,-12.5,7.25,-7.611,Long round guide pin matched to short bushing at the same center position plane.
38,EJ_LDR_PIN_D-1-X-6-25_PCS-4,leader_pin,MEDIUM,False,1.24,1.24,6.25,12.5,-7.25,-7.611,Long round guide pin matched to short bushing at the same center position plane.
39,EJ_LDR_PIN_D-1-X-6-25_PCS-1,leader_pin,MEDIUM,False,1.24,1.24,6.25,-12.5,-7.25,-7.611,Long round guide pin matched to short bushing at the same center position plane.
40,EJ_LDR_PIN_D-1-X-6-25_PCS-2,leader_pin,MEDIUM,False,1.24,1.24,6.25,12.5,7.25,-7.611,Long round guide pin matched to short bushing at the same center position plane.
41,2223488_RETURN-PIN-2,return_pin,MEDIUM,False,1,1,8.065,14.375,4.5,-4.032,Long 1-inch-class round pin; likely return/ejector return pin.
42,2223488_RETURN-PIN-3,return_pin,MEDIUM,False,1,1,8.065,-14.375,-4.5,-4.032,Long 1-inch-class round pin; likely return/ejector return pin.
43,2223488_RETURN-PIN-4,return_pin,MEDIUM,False,1,1,8.065,14.375,-4.5,-4.032,Long 1-inch-class round pin; likely return/ejector return pin.
44,2223488_RETURN-PIN-1,return_pin,MEDIUM,False,1,1,8.065,-14.25,4.5,-4.032,Long 1-inch-class round pin; likely return/ejector return pin.
45,UNC-SHCS-5-8-X-7000-2,hardware_other,LOW,False,0.938,0.938,7.625,-12,-10.313,-6.877,Round hardware but role is not certain from dimensions alone.
46,UNC-SHCS-5-8-X-7000-3,hardware_other,LOW,False,0.938,0.938,7.625,12,10.313,-6.877,Round hardware but role is not certain from dimensions alone.
